Black Bowmore 42 year old 1964 vintage,"What impresses me most is how this whisky evolves; it's incredibly complex. On the nose and palate, this is a thick, viscous, whisky with notes of sticky toffee, earthy oak, fig cake, roasted nuts, fallen fruit, pancake batter, black cherry, ripe peach, dark chocolate-covered espresso bean, polished leather, tobacco, a hint of wild game, and lingering, leafy damp kiln smoke. Flavors continue on the palate long after swallowing. This is what we all hope for (and dream of) in an older whisky!",97 points,Single Malt Scotch  , John Hansell ,  $4500,Summer 2008,40.5%
Cadenhead’s (distilled at Braes of Glenlivet) 16 year old,"I have a soft spot for the Braes: not only a forgotten part of Speyside, but the only distillery whose roof I’ve stood on. Anyway, here you have yeastiness and a smell like just-baked, sugar-topped apple pie, the fruit cracking through warm pastry. Sweet, direct, and slightly nervy, Braes is never going to be a heavy hitter, but this is the ideal dram to conjure up fading memories of summer.",84 points,Single Malt Scotch  , Dave Broom ,  $100,Winter 2013,56.9%
Douglas Laing Old Particular (distilled at Craigellachie) 18 year old,"Amber. A thick nose with touches of fresh varnish and a little oiliness. Has some substance and weight and the heavy florals (lily, jasmine) typical of mature Craig, alongside toffee. The palate is ripe, juicy, and full, the cask adding a slight resinous edge. Appears slightly smoky. Becomes fleshy, even waxy, with water, and decidedly more elegant. The tannins are supple and some herbal notes emerge. It is at its best neat, or with water on the side. £80",84 points,Single Malt Scotch  , Dave Broom ,  $123,Spring 2015,48.4%
Douglas Laing Old Particular (distilled at Deanston,"Distilled in June 1994, this example of Deanston was aged for 20 years in a refill butt, which ultimately yielded 188 bottles. Quite shy on the nose, a hint of starch, gentle malt, and ginger. Shows its true colors on the palate: relatively full-bodied and sweet, with peaches and over-ripe apricots. Softly spiced. The finish is lengthy and sweet, with cocoa powder and sprightly oak. £87",84 points,Single Malt Scotch  , Gavin Smith ,  $133,Spring 2015,51.7%
Douglas Laing Provenance (distilled at Caol Ila) 6 year old,"Pale straw. This is a classic young Caol Ila, all elbows and knees. There is sweetness, but it’s counteracted by this briny edge and an aroma like firelighters in among smoldering peat. Shut your eyes and it could be mezcal. The smoke envelops the palate while you pick out edible seaweed and smoked oyster on the tongue. Very bright and would make a good aperitif/highball. £50",84 points,Single Malt Scotch  , Dave Broom ,  $73,Summer 2015,46%
Douglas Laing Single Minded Speyside 24 year old,"Huge marzipan/almond notes greet you on the first sniff. This then moves into an aroma like crepe bandage and even a hint of ointment, then lychee and some maltiness. The palate is surprisingly feisty, with a little orange. Water brings out mash tun aromas and a pleasing whiff of sheep pens. When diluted, the palate is very pretty, with the almond returning. Easy drinking. £80",84 points,Single Malt Scotch  , Dave Broom ,  $125,Fall 2015,46%
Duncan Taylor (distilled at Glenallachie) 6 year old,"Another blast of new oak. Fat and creamy, with distinct charred elements along with stewing pineapple, banana fritters, white chocolate, suntan oil, and a melting bar of nut-filled milk chocolate. An instructive dram showing how maturity is very different from age. With water, some of the distillery finally pokes through. To be honest, it’s slightly too much for me; like overdosing on cotton candy or sugar-topped donuts. £54",84 points,Single Malt Scotch  , Dave Broom ,  $84,Fall 2015,52.8%
MacPhail’s Collection (distilled at Glenturret) 2000,"This 2000 vintage expression from Glenturret was matured in refill sherry hogsheads before bottling in 2015 as part of Gordon & MacPhail’s “MacPhail’s Collection” range. The nose is earthy, with vanilla, treacle, and dark berries, plus fruit spices. Full-bodied in the mouth, with spicy, zesty plums, raisins, cocktail cherries, and nutmeg. The finish is lengthy, with black treacle, cocoa powder, and an edge of slightly bitter oak.",84 points,Single Malt Scotch  , Gavin Smith ,  $60,Winter 2015,43%
Gordon & MacPhail Connoisseurs Choice 1999 (Ledaig,"This peated expression from Tobermory distillery has been aged in refill, remade hogsheads. The nose offers earthy peat, citrus fruit, vanilla, and smoked haddock in butter. Big, sweet peat notes on the peppery palate, with marshmallows and lively spices. The spices linger to the close, with peat embers and a hint of brine on the lips. £60",84 points,Single Malt Scotch  , Gavin Smith ,  $78,Fall 2016,46%
Wemyss Malts Lead on Macduff! 2002 (distilled at Macduff),"While most Wemyss Malts’ releases are named after flavor descriptors, this one adopts a well-known Shakespearean reference. A sherry butt filled in 2002 gave an out-turn of 854 bottles. The nose offers toffee bonbons, coffee with condensed milk, and finally farmyard aromas. The palate is relatively sweet, with spicy sherry notes and contrasting mildly citric fruit, plus a slight earthiness. The finish is medium to long, with lingering spice and a carry-over of coffee from the nose. £57",84 points,Single Malt Scotch  , Gavin Smith ,  $96,Fall 2014,46%
Strathmill 25 year old (Diageo Special Release 2014),"Light gold. Fresh and lightly nutty/biscuity combined with a gently swelling aroma of fruit syrups, green grape, lime (or green) jelly babies, and Quetsch, with that nut flour underneath. The palate is similarly smooth, creamy, and upfront, with a decidedly acidic zing to the finish before the wood finally shows its presence. A soft, delicious whisky that ticks all the right boxes but doesn’t really set the world alight. (2,700 bottles)",84 points,Single Malt Scotch  , Dave Broom ,  $475,Winter 2014,52.4%
Mackillop’s Choice (distilled at Tormore) 1988,"Full gold. Good cask interaction here, allowing a light tropical fruit element to emerge alongside peach and apricot. Juicy and sweet, in other words, with none of the usual Tormore rigidity. The palate is equally concentrated, showing some heat, with a decent degree of fleshy elegance. Water brings out more dry elements: brown bracken, hayloft. It begins to firm up, but it is good enough to change folks’ minds about this distillery. £125",84 points,Single Malt Scotch  , Dave Broom ,  $183,Summer 2015,55.6%
Cadenhead Authentic Collection 28 year old (distilled at Highland Park),"Distilled in 1985, this expression of Highland Park was matured in a single bourbon cask that yielded 252 bottles. Green apples, tinned mandarin oranges, linseed, and a hint of smoky chocolate on the nose. Sweet spices, coconut, and mild peat smoke on the light palate. Lingering peat smoke, root ginger, and a touch of vanilla in the medium-length finish. £120",84 points,Single Malt Scotch  , Gavin Smith ,  $191,Winter 2014,48.3%
Cadenhead’s (distilled at Caol Ila) 1984,"Surprisingly punchy for its age, there’s very little cask activity here, so what you get is a reduction of Caol Ila into oils (lanolin) and whiffs of the harbor (drying fishing nets) rather than overt smokiness. The palate is gentle and shy, with an unctuous feel that drifts into poached pear and light cream. Delicate, but also oozing with character. Best neat.",84 points,Single Malt Scotch  , Dave Broom ,  $400,Winter 2015,50.7%
Cadenhead’s (distilled at Glentauchers) 1989,"This example of the little-seen Glentauchers immediately shows classic distillery character, which is in the green grassy camp. This verdant aspect continues into fresh fruit salad, with enough ripeness to indicate the time spent in cask. This mix of freshness and weight extends onto the tongue, although the impact fades soon after a light spicy tingle on the back palate. I’d happily have a couple.",84 points,Single Malt Scotch  , Dave Broom ,  $275,Winter 2015,55.2%
Hepburn’s Choice (distilled at Blair Athol) 12 year old,"This single cask bottling from Langside Distillers was aged in a sherry butt and bottled in 2015. Candied orange peel on the early nose, soft sweet sherry, and glacé cherries. Fragrant, with milk chocolate-coated Turkish Delight. Sweet, spicy sherry, plus pepper and cinnamon on the uncomplicated palate. Fruity spices in the medium-length finish. (222 bottles, Robertsons of Pitlochry exclusive) £45",84 points,Single Malt Scotch  , Gavin Smith ,  $56,Winter 2016,46%
Port Charlotte 2007 CC:01,"An immediate and perhaps surprising smokiness which brings to mind cask-aged mezcal (tepeztate to be precise), and it is this green, celery-accented element playing off some oily, nutty, and farmyard notes that gives balance and intrigue. Water reveals its youth, but there’s enough cask action to add some weight to the palate, where the natural sweet spirit shows itself. Keenly priced. Worth a look next time you are flying. (Travel Retail exclusive) £68",84 points,Single Malt Scotch  , Dave Broom ,  $98,Summer 2016,57.8%
Wolfburn The Kylver Series,"Matured in bourbon casks, this is the second release from the fledgling Caithness Distillery. Clearly youthful on the nose, but not raw, with ginger, melon, and background resin. Ultimately, mildly floral. Chili notes on the relatively dry palate, with nutmeg and spicy oak. The finish is on the short side of medium in length, peppery, and slightly bitter. Once decanted, this dram improves significantly and is rated on that basis. (1,200 bottles)£65",84 points,Single Malt Scotch  , Gavin Smith ,  $81,Winter 2016,46%
Bruichladdich Octomore 6.1 5 year old,"Smoke comes at you immediately, the morning-after smoke of a spent fire, mixing with reeds and rushes, a touch of coconut, and light oak. Water is needed to bring out sweetness alongside the Band-Aid note typical of many young peaty whiskies. The palate is a lot sweeter than the nose suggests, bold and quite thick; honey adding a sticky quality that then moves into creosote and antiseptic cream. It needs hefty degrees of dilution. A work in progress. £100",84 points,Single Malt Scotch  , Dave Broom ,  $161,Winter 2013,57%
Trader Joe’s 8 year old Speyside,"If you aren’t expecting it, the herbaceous, grassy, mineral aromas are a surprise, more expected in an agave spirit than a typical Speysider. But there’s something entrancing about the herbal flavors of tarragon, licorice tea, chestnut honey, and saline, which resolve into a lightly sweet, slightly spiced finish. This is unusual, but beguiling. (Trader Joe’s)",84 points,Single Malt Scotch  , Susannah Skiver Barton ,  $20,Winter 2018,40%
Cardhu,"This soft, bright, easy-going whisky is back in the U.S. after being absent for several years. Very fragrant, with vibrant fruit (nectarine, plum, guava, pineapple, clementine), honeyed vanilla, and subtle macadamia. Fairly light (a pre-dinner or leisurely afternoon malt, perhaps?), but evenly balanced. A gentle introduction to single malts for the blended scotch drinker.",83 points,Single Malt Scotch  , John Hansell ,  $43.00,Fall 2010,40%
Ardmore,"Ardmore is a rising star in the world of single malt. Until four years ago it was little known in its own right, its main purpose being as a key malt in Teacher’s. Then Ardmore Traditional was released, and it’s been winning over drinkers ever since. That malt is a delicatessen whisky: smoky, oily, and savory, a unique Highland malt with much to recommend it. This is a different proposition altogether. It’s clean and sweet, with pineapple candy, dusty and almost incense-like spices, and a liberal dose of sweet peat. Some citrus notes, too. The peat holds out until the end with impressive effect. There’s talk of this becoming a permanent part of the Ardmore portfolio. Let’s hope so: it’s further proof that Ardmore is a very interesting distillery indeed. (Travel Retail and selected specialist whisky shops.)",83 points,Single Malt Scotch  , Dominic Roskrow ,  $195.00,Fall 2010,51.4%
Arran St. Emilion Wine Cask Finish (Limited Edition),"Rich, good body, blueberry muffin, black cherry, a lot of tannic grip (perhaps a little too much for balance). Not as polished as the Pomerol or Madeira.",83 points,Single Malt Scotch  , John Hansell ,  $80,Fall 2009,50%
Arran Machrie Moor 5th Edition,"Arran distillery has been making peated batches of spirit since 2004, and this NAS bottling is the fifth release of that spirit, peated to 20 ppm. The outturn is 12,000 bottles. Nutty peat, spicy malt, toffee, and lemon on the mildly savory nose. Vibrant on the palate, with lots of citrus fruit. A bonfire smokiness develops steadily, with spice, nuts, and plain chocolate through to the relatively long finish, which features a persistent citric note.",83 points,Single Malt Scotch  , Gavin Smith ,  $62,Fall 2015,46%
Auchentoshan 16 year old,"A very textural whisky. Incredibly creamy, with mouth-coating vanilla, honeyed barley, hay, linseed oil, clementine, and subtle peach. The whisky continues to cling to the palate long after the finish. It’s what you would expect Auchentoshan to taste like, but bolder. A nice whisky, but lacking the polish of the standard 21 year old expression.",83 points,Single Malt Scotch  , John Hansell ,  $120,Spring 2008,53.7%
Auchentoshan American Oak,"American Oak is new to the Auchentoshan core range in 2014 and is the first release from this Lowland distillery to be matured solely in first-fill bourbon casks. An initial note of rosewater, then Madeira, vanilla, developing musky peaches, and icing sugar. Spicy fresh fruit on the palate, chili notes, and more Madeira and vanilla. The finish is medium in length, and spicy to the end.",83 points,Single Malt Scotch  , Gavin Smith ,  $40,Winter 2014,40%
Balblair 2004 Bourbon Matured,"The Bourbon Matured variant of Balblair’s two Travel Retail expressions of its 2004 vintage is available on a worldwide basis. Light and delicate on the initial nose, with ripe pear, melon, lemon, watery toffee, and hints of honey and ginger. Sweet orchard fruits on the palate, with developing cinnamon, coconut, and crème brûlée. Tingling spices in the finish, with slightly drying oak.",83 points,Single Malt Scotch  , Gavin Smith ,  $74,Winter 2015,46%
The Balvenie New Wood 17 year old,"The tell-tale rich honeyed Balvenie personality is spiced up by finishing it off in new charred oak casks, making a normally masculine whisky even bigger. The honeyed malt impacts the palate first, with intermediate notes of citrus fruit, followed by dried spices (cinnamon, vanilla, ginger, and cocoa). The new oak impact is most evident on the whisky’s long, dry, spicy finish. A nice whisky, but perhaps a tad too much new oak for greatness?",83 points,Single Malt Scotch  , John Hansell ,  $90,Winter 2006,43%
The Balvenie Signature 12 year old Batch #1,"Good, straightforward, moderately sherried Balvenie. Classic honeyed notes combine with vanilla, ripe barley, glazed citrus, apricot marmalade, cinnamon, and nutmeg. A nice entry level Balvenie, a solid effort.",83 points,Single Malt Scotch  , John Hansell ,  $55,Spring 2009,43%
Duncan Taylor 'Rarest of the Rare' (distilled at Banff),"Very fruity and spicy. High, bright fruit notes of lemon, mandarin, and mango, with a sprinkling of ginger and powdered vanilla. Oak kicks in on the end, leading to a fairly dry finish, which is not surprising for a 30 year old whisky.",83 points,Single Malt Scotch  , John Hansell ,  $225.00,Fall 2007,43.5%
BenRiach Arumaticus 12 year old,"Finished in a dark rum cask. Notes of peat, smoked mackerel, and suggestions of charcoal married with molasses, vanilla wafer, golden raisin, cantaloupe, and a dollop of honey. It’s missing the more defined fruit notes that the other two have. I’d like to see this at 15 years to give it more depth.",83 points,Single Malt Scotch  , John Hansell ,  $85,Spring 2008,46%
BenRiach 16 year old,"In the same genre as BenRiach 12 year old, but more concentrated, with additional notes of resinous oak, light toffee, and soft caramelized pear.",83 points,Single Malt Scotch  , John Hansell ,  $90,Spring 2006,46%
BenRiach Sauternes Wood Finish 16 year old,"Lovely golden honey color. Lush and sweet (the Sauternes impact is obvious), with honey-drenched apricot, sultana, and lemon gum drops. Vanilla, candied nuts, and subtle botanicals round out the palate. Decent oak grip on the finish keeps the whisky from being too cloying.",83 points,Single Malt Scotch  , John Hansell ,  $113,Summer 2009,46%
BenRiach 35 year old,"A venerable bottling from its proprietor, and there’s no doubt from the nose that you’re dealing with an ultra-mature whisky. Like going in to meet your aged grandfather who is sitting in his library surrounded by old books, with a little sunlight filtering through the drapes. In time, there’s dried peach and envelope gum. The palate is wooded and concentrated, but it is dry and lacking in the required energy. Water stirs it into life, but kills the flavor. £450",83 points,Single Malt Scotch  , Dave Broom ,  $690,Spring 2015,42.5%
John McDougall's Selection (distilled at Bladnoch),"The only distillery-approved bottling of Bladnoch in the United States. When compared to the Gordon & MacPhail bottling above, this one isn’t as sweet or creamy in texture. There’s more citrus fruit and a drier, spicier finish. This one is also bolder and a bit more aggressive.",83 points,Single Malt Scotch  , John Hansell ,  $110.00,Fall 2005,55.8%
Bowmore 16 year old 1992 vintage Wine Cask-Matured,"Aged for six years in bourbon casks, then aged an additional ten years in Bordeaux wine casks. Classic Bowmore peat smoke and red berried fruit (raspberry, strawberry) are the main components of this whisky, with additional notes of plum, grape skin tannins, currant, caramel, and marzipan. Good grip from the Limousin oak (wine casks). Some brine and damp cellar notes emerged occasionally, with the smoke lingering long on the finish.",83 points,Single Malt Scotch  , John Hansell ,  $120,Winter 2008,53.5%
Signatory 11 year old 1999 vintage (distilled at Bowmore),"Aged in a used bourbon barrel. Rather soft for Bowmore — especially for its age — with a gentle foundation of honey, vanilla, and malt. Interwoven notes of summer fruit, coconut, lime, and gentle peat, with teasing brine and smoke on the finish. A straightforward, unpretentious, pleasant Bowmore.",83 points,Single Malt Scotch  , John Hansell ,  $55,Summer 2011,46%
Bruichladdich 20 year old,"Finished in Madeira casks. An interesting contrast to the 15 year old. This one is more challenging than soothing (and quite dry too -- especially on the palate), with dominant red fruit (currant, raspberry, strawberry), plum, baked cinnamon apple, polished leather, bourbon, almonds, and just the hint of smoke and brine. Dry, resinous finish. An intense Laddie.",83 points,Single Malt Scotch  , John Hansell ,  $170.00,Fall 2006,46%
Bruichladdich 20 year old 'Second Edition',"A departure from the first edition of Bruichladdich 20 year old, and very Glenmorangie-esque-given that it was aged for five weeks in Mourvedre wine casks before being bottled. The wine influence is evident, both in appearance (a pinkish hue), its palate (berry fruits), and even its nickname (""flirtation""). It is quite a sweet Bruichladdich, with chewy toffee, ripe berries, background pit fruits, and earthy/ resinous spicy notes-especially on the finish. A Bruichladdich fresh Islay sea breeze character fights its way through, but it is a struggle.",83 points,Single Malt Scotch  , John Hansell ,  $170.00,Fall 2005,46%
Blackadder 'Raw Cask' (distilled at Bruichladdich),"A very fruity “Laddie,” flowing with tangerine, apricot, pineapple and pear. Background notes of honey, vanilla, and a wisp of smoke. The typical Bruichladdich fresh, appetizing, brine notes are restrained, emerging ever so subtly on the finish. Nicely rounded and clean throughout.",83 points,Single Malt Scotch  , John Hansell ,  $180.00,Fall 2007,54.4%
Bruichladdich,"A replacement to the original 10 year old, which is now off the market. A clean, straightforward dram with a lightness and freshness which is very inviting. Notes of vanilla cream, light caramel, tropical fruit (coconut, pineapple), clementine, pear, and a hint of currant. Appetizing, subtly briny finish.",83 points,Single Malt Scotch  , John Hansell ,  $60.00,Summer 2008,46%
Bruichladdich,"Finished in a rum cask. Gold with a greenish tinge. Notes of ripe barley, demerara sugar, toasted marshmallow, and sultana, with underlying vanilla and subtle brine emerging on the finish. A pleasant, easy-going Laddie. (Bottled for Bayway World of Liquor)",83 points,Single Malt Scotch  , John Hansell ,  $50.00,Summer 2008,46%
Bruichladdich Links,"The 8th in a series of “Links” releases. This one’s further enhanced in Chateau Latour Bordeaux casks. Bright, fruity notes of red raspberry, rhubarb, and candy apple. Teasing fresh brine emerges occasionally, along with citrus, mango, and vanilla. A very perky whisky.",83 points,Single Malt Scotch  , John Hansell ,  $85.00,Winter 2008,46%
The Whisky Exchange Elements of Islay Br2 (distilled at Bruichladdich),"The second bottling from Bruichladdich in this range shows the ‘traditional‘ side of a distillery that is famed for the variety of its expressions. This, in other words, is Bruichladdich in its sweet, honeyed, gentle guise partnered with American oak to produce a mashed banana character, an unctuous palate, and a light touch of almond on the finish. Lovely. £55 (500 ml)",83 points,Single Malt Scotch  , Dave Broom ,  $88.00,Spring 2012,49.3%
Bruichladdich Micro Provenance 2007 (Cask 14),"The Micro Provenance series is Bruichladdich’s web-exclusive range of single cask bottlings. This is made from barley grown on Rockside Farm (now owned by Kilchoman) and has been aged in virgin oak. The oak doesn’t dominate the nose, allowing fresh cereal sweetness to develop, along with an estery lift and some jasmine/meadowsweet florals. The palate is where creamy vanilla and white chocolate show through. Fresh, balanced, and bottled at the right time. (468 bottles) £90",83 points,Single Malt Scotch  , Dave Broom ,  $117,Fall 2016,63.6%
Berry Bros. & Rudd (distilled at Bunnahabhain) 23 year old 1989,"Our second Bunna’, this is pale of hue with a surprising hint of salinity alongside a whiff of lemon sherbet, and an aroma like wet linen, while a floury maltiness runs below. Age however has twisted the fruits into the verge of musty over-ripeness. It’s explosive and spicy and, even though this is only 46%, it is hot. Water picks up the acidity before there’s a huge hit of warming ginger as the kiss-off. £89",83 points,Single Malt Scotch  , Dave Broom ,  $138,Spring 2013,46%
Bn6 Elements of Islay (distilled at Bunnahabhain),"Very chewy. Think of melting Mars bars, with a touch of coconut cream, then red-fruit acidity, red cherry, and lemon. All very forward and sweet, but with no alcohol when neat, showing an active cask. Dilute, there’s coconut, pea shoots, and banoffie pie. The palate is thick with Jaffa cake (orange and chocolate), then nutty granola. It doesn’t take water too well. Quite fat. £50/500 ml",83 points,Single Malt Scotch  , Dave Broom ,  $84,Fall 2014,56.9%
Gordon & MacPhail (distilled at Caol Ila),"One of a series of single cask, wine-finished Caol Ilas. This one is finished in a claret (Bordeaux) wine cask. The claret adds some bright red fruit notes (raspberry, red currant) and red licorice to accompany the smoke, brine, olive, and vanilla-laced malt. I have tasted some claret/Bordeaux wood-finished whiskies where the wine was too dominant, but this one achieves a nice balance.",83 points,Single Malt Scotch  , John Hansell ,  $85.00,Fall 2007,46%
Murray McDavid (distilled at Caperdonich) 1968,"Style: Speyside single malt scotch Color: Pale gold Aroma: Surprisingly fresh and clean. Golden raisins, lightly oaky. Malted barley. Palate: Beautifully balanced and clean. Layers of fruit interwoven through a richly malty foundation. Long and clean on the finish with a hint of dry oaky spiciness.",83 points,Single Malt Scotch  , John Hansell ,  $150.00,Spring 2004,46%
Signatory 'Un-chillfiltered' (distilled at Clynelish),"Very pale in color, suggesting it was aged in a used bourbon cask. One nosing confirms it. A fairly light, fresh, and appetizing whisky, with notes of brine, mustard seed, and delicate honeyed vanilla. Slightly oily in texture. Seaweed, with suggestions of ginger and bourbon on the finish. An aperitif whisky, or with sushi perhaps? (Bottled exclusively for Binny’s Beverage Depot.)",83 points,Single Malt Scotch  , John Hansell ,  $45.00,Summer 2006,46%
Deanston,"Aged in bourbon and sherry casks, and then finished off in oloroso sherry casks for two years. The sherry provides a good measure of lush fruit, brown sugar, and a slick texture on the palate. The sherry is clean and uncluttered, if somewhat overshadowing the traditional Deanston honeyed malt foundation. I’m also picking up some burnt marmalade, lemongrass, and ginger. Soft, sweet, fruity, finish.",83 points,Single Malt Scotch  , John Hansell ,  $265.00,Winter 2006,46.7%
Deanston 18 year old,"This 18 year old was matured in refill hogsheads before a period of finishing in first-fill bourbon casks. It is non-chill filtered. The nose is light and fruity with pears, melon, and mild vanilla, plus caramel and a hint of toffee. Rich and full on the textured palate, with big orchard fruits, honey, buttery spice notes, then emerging aniseed. Dries in the finish, with plain chocolate and slightly tannic oak notes, plus a sprinkling of chili heat.",83 points,Single Malt Scotch  , Gavin Smith ,  $135,Fall 2016,46.3%
Scott's Selection (distilled at Glen Elgin),"A mouth-coating -- almost chewy -- Glen Elgin, chock full of toffee, nut paste, heather-honey, and a hint of milk chocolate. The richness is brightened with ginger and mandarin orange, making for a pleasurable, soothing experience.",83 points,Single Malt Scotch  , John Hansell ,  $140.00,Spring 2007,44.1%
Duncan Taylor (distilled at Glen Grant) 1972 Vintage,"I don’t normally like to add water to old whiskies, but this one needs a little at this strength. Whether you will like this whisky or not depends on whether you like woody whiskies with lots of sherry, and whether you care at all about recognizing the distillery character. The flavors are nicely balanced, rich, and very soothing in nature, but I struggle to find Glen Grant in here. Ripe fallen fruit, chewy toffee, maple syrup, honey-glazed almonds, damp oak resins-it’s all there, and it’s all balanced and quite entertaining. I personally want to taste the distillery character in my whisky. If that didn’t matter to me, I would have given this whisky a higher score.",83 points,Single Malt Scotch  , John Hansell ,  $155.00,Fall 2004,56.1%
Hart Brothers (distilled at Glen Grant),"Like many older Glen Grant offerings, this one is from a sherry cask. The sherry, and the long oak aging, transforms what is normally a light and easy drinking whisky to a more serious affair. Ripe, heavy fruit dominate the palate-the sherry is very evident here, but it is not cloying. It’s quite nutty too, along with polished oak and toffee. The oak balances the sherry notes very nicely, and the whisky is clean and uncomplicated throughout, all the way through to its finish.",83 points,Single Malt Scotch  , John Hansell ,  $160.00,Winter 2004,53.6%
Cadenhead’s (distilled at Glen Grant) 15 year old,"As this is slightly closed when neat, you have to search for Glen Grant’s classic apple notes behind a tense nose which, even with water, remains inward-looking. Thankfully, this changes on the tongue with pure, very linear (typical of GG) flavors of cool mint, cucumber, basil, and yes, apple. Easy-going from a relaxed cask, but with more substance than you’d expect.",83 points,Single Malt Scotch  , Dave Broom ,  $100,Winter 2013,55.8%
Glencadam The Rather Enriched Oloroso Finish 14 year old,"Oloroso Finish has spent 16 months gaining additional maturation in oloroso casks. The use of sherry wood has lent the nose a greater sweetness, with vanilla, dates, apples, and cinnamon. Floral, spicy notes, with toffee, ginger, and sweet sherry on the palate, giving extra body and resonance. The fruity finish is of medium length, with mixed spices and white pepper. £45",83 points,Single Malt Scotch  , Gavin Smith ,  $73,Winter 2013,46%
Exclusive Malts 1991 (distilled at Glencadam),"A 22 year old Glencadam; maturation took place in a refill American oak hogshead. The nose offers rich honey and malt notes, though slightly balsamic. Syrup-like on the palate, heathery and spicy, with more honey. Relatively long and spicy in the finish, with chili, though honey persists right to the end. (U.S. only)",83 points,Single Malt Scotch  , Gavin Smith ,  $160,Fall 2014,50.4%
Murray McDavid Mission IV (distilled at Glendronach) 1974 Vintage,"An interesting whisky, with flavor notes I wouldn’t normally find together-golden raisins, green grapes, plum, citrus tang, fresh ginger, almonds, and a hint of mint leaves, all wrapped by a pleasing maltiness with underlying notes of vanilla custard. Fairly dry, slightly hot finish. Many of the Glendronachs (especially from the distillery) are sherried. Some of the sherried versions, like the 33 year old, are excellent. However, this is a refreshing change of pace. I’m glad they bottled it when they did though, as any additional oak dryness would be detrimental.",83 points,Single Malt Scotch  , John Hansell ,  $210,Winter 2005,46%
GlenDronach 1971 vintage,"This whisky is doddery and on the edge, bordering on feeble. You have to look hard to find its spark and fire, but if you search for it, it is there. The nose is light and savory, with crushed fall leaves and chestnut on the nose. On the palate, there are traces of licorice stick, a touch of cumin, anise, and a creamier, less bitter chocolate note than some other samples. It finishes with traces of mandarin, but overall the sun is setting and the spirited and energetic man of old seems to be getting bitter. Overall, though, still pretty impressive for its age. £380",83 points,Single Malt Scotch  , Dominic Roskrow ,  $592,Winter 2010,48.8%
GlenDronach 1989 vintage 20 year old pedro ximenez puncheon (cask 3315),"This is the most seasonal of this batch of GlenDronachs, with a nose of rich stewed prunes and fermenting fruit in an orchard at harvest time. There is some anise and cherry lozenge in the mix, too, and the palate is complex, with plums, stewed fruits, and damson jam. The finish is drying, dusty, and spiky. £80",83 points,Single Malt Scotch  , Dominic Roskrow ,  $125,Winter 2010,53.2%
The Singleton of Glendullan,"Clean, fragrant, and quite fruity, with notes of tangerine, lemon, pineapple, and kiwi. There's a creamy-almost oily-vanilla maltiness on the palate that binds the fruit together. Gently dry, subtly spicy finish. A pleasing, unpretentious whisky.",83 points,Single Malt Scotch  , John Hansell ,  $36.00,Fall 2007,40%
Glenfiddich Snow Phoenix,"Second of this pair of limited editions from Glenfiddich. This was named after a number of the distillery’s warehouse roofs collapsed under the weight of snow in 2010. This was a bottling of a selection of casks — ex-sherry, ex-bourbon, refill — from one of those damaged warehouses. It is gentle and sweet — cooked pear, fruit crumble topped with rolled oats, golden syrup, and on the palate hints of raisin. A lemon finish adds a freshness to a dangerously drinkable dram.",83 points,Single Malt Scotch  , Dave Broom ,  $90,Summer 2011,47.6%
Glen Garioch Wine Cask Matured 1998,"A 15 year old Glen Garioch which is unique as the first from the distillery to be fully matured in French Bordeaux wine casks. The casks in question are tonneaux de vin rouge from Saint-Julien, and distillation took place on June 23, 1998. Just 450 cases are available globally. Sweet berries on the early nose, with milk chocolate, ginger, and spicy oak. Malt, ginger, plums, and honey on the rich palate, while the long finish offers spicy malt and honey.",83 points,Single Malt Scotch  , Gavin Smith ,  $155,Spring 2015,48%
Glenglassaugh,"Very frail. Don’t add any water to this whisky, as its flavors seem to crumble. It’s a subtle whisky too -- one has to tease the flavors out of it. But when you do, with some focus, you’ll find fragrant notes of dried spice, malty vanilla, citrus peal, and elegant floral notes. Surprisingly, the whisky is not overly dry and woody on the palate. The initial impression of this whisky is that it’s too tired and past its prime. With continued exploration and patience, its subtle pleasures emerge.",83 points,Single Malt Scotch  , John Hansell ,  $900.00,Fall 2006,41.7%
Cask & Thistle (distilled at Glenlivet) 30 year old 1973 Vintage,"Its deep amber/ruby color suggests a lot of sherry, and one whiff confirms. The whisky is rich and sappy in texture, with lush notes of ripe sherry fruit balanced by dry, mature spicy oak. There’s a pleasant soothing texture to the whisky too, but I do struggle to find the subtle complexities which make some bottlings of Glenlivet so special. There’s just so much oak and sherry dominating. At its best after dinner or with a cigar.",83 points,Single Malt Scotch  , John Hansell ,  $100,Spring 2005,46%
Gordon & MacPhail Private Collection: The Glenlivet Decades 1991,"A quintet of releases showing examples of The Glenlivet from five decades, issued to support The Glenlivet Generations 70 year old bottling. All are available individually or in a limited edition set (50 only) for £2,850; these bottlings are not currently available in the U.S. The youngest of the quintet has been aged in refill sherry hogsheads, but the coconut that immediately assails the nostrils suggests they were made from American oak. Alongside this is the distillery’s signature pineapple note which sits under a scented, floral lift. Water adds a further layer of ripe pear. The palate is equally heightened with a powdery feel. It’s pretty discreet and I’d be cautious with any dilution. The finish is a mix of night-scented stocks, custard, and green apple. £95",83 points,Single Malt Scotch  , Dave Broom ,  $156,Summer 2011,54.4%
